Nome Cliente;Marca;Modelo;Método Pagamento;Bairro;Entrada;Saída
Beatriz Moraes;Fiat;Uno;App;Urca;2023-11-06 11:47:42;2023-11-07 05:47:42
Emerson Fernandes;Renault;Duster;Cartão;Centro;2024-01-02 06:22:06;2024-01-02 21:22:06
Lorena Rodrigues;Chevrolet;Cruze;Dinheiro;Jardim Botânico;2024-05-27 16:03:16;2024-05-27 19:03:16
Miguel Santana;Renault;Duster;Dinheiro;Tijuca;2024-06-16 14:21:42;2024-06-16 20:21:42
Raquel Rodrigues;Ford;Ka;App;Glória;2023-09-14 12:54:56;2023-09-15 00:54:56
Isabela Cardoso;Honda;Fit;Cartão;Bangu;2024-04-02 04:34:42;2024-04-02 07:34:42
Marcela Batista;Honda;Fit;Cartão;Taquara;2023-12-23 00:59:40;2023-12-23 11:59:40
Sophia Costa;Ford;Fiesta;Cartão;Gávea;2024-09-02 05:25:37;2024-09-02 22:25:37
Fabrício Ribeiro;Fiat;Argo;App;Leblon;2023-02-11 07:10:05;2023-02-11 19:10:05
Nicolas Martins;Ford;Fiesta;Dinheiro;Taquara;2023-03-24 04:54:54;2023-03-24 05:54:54
Gabriela Lopes;Nissan;Kicks;App;Campo Grande;2023-09-26 06:03:14;2023-09-26 09:03:14
Camila Monteiro;Renault;Sandero;Cartão;Barra da Tijuca;2024-02-17 13:33:49;2024-02-18 07:33:49
Thais Gomes;Jeep;Compass;Cartão;Campo Grande;2023-07-19 08:32:55;2023-07-19 09:32:55
Luciana Lima;Jeep;Compass;App;Santa Teresa;2023-02-17 18:40:55;2023-02-17 21:40:55
Caio Nogueira;Ford;Ka;Dinheiro;Madureira;2023-11-08 08:54:45;2023-11-08 09:54:45
Daniela Santos;Hyundai;HB20;App;Tijuca;2023-10-17 04:52:48;2023-10-17 07:52:48
Flávia Ferreira;Chevrolet;Onix;Dinheiro;Recreio dos Bandeirantes;2024-02-16 08:53:39;2024-02-16 20:53:39
Pedro Gonçalves;Fiat;Uno;Dinheiro;Ipanema;2023-09-12 18:18:22;2023-09-13 02:18:22
Fernando Fonseca;Toyota;Yaris;Dinheiro;Botafogo;2023-09-29 08:59:34;2023-09-30 00:59:34
Murilo Araujo;Ford;Fiesta;App;Catete;2023-03-22 11:53:06;2023-03-22 12:53:06
Pietro Monteiro;Volkswagen;Gol;App;Catete;2024-07-20 20:06:35;2024-07-21 01:06:35
Alexandre Martins;Volkswagen;Gol;Dinheiro;Recreio dos Bandeirantes;2023-05-06 16:33:49;2023-05-06 17:33:49
Isadora Fonseca;Honda;Civic;App;Laranjeiras;2024-03-10 21:38:45;2024-03-11 04:38:45
Mauro Ferreira;Toyota;Corolla;Cartão;Ipanema;2023-07-08 23:41:47;2023-07-09 12:41:47
Leonardo Martins;Renault;Sandero;App;Urca;2024-02-03 14:58:18;2024-02-03 15:58:18
Cássio Fonseca;Chevrolet;Onix;App;Centro;2024-06-15 12:39:34;2024-06-15 20:39:34
Elias Santos;Toyota;Corolla;App;Gávea;2023-03-29 23:41:16;2023-03-30 20:41:16
Isadora Barbosa;Fiat;Uno;Dinheiro;Centro;2024-07-25 16:09:41;2024-07-26 03:09:41
Mauro Gonçalves;Honda;Civic;Dinheiro;Santa Cruz;2023-10-10 07:40:08;2023-10-10 10:40:08
Sarah Martins;Nissan;Kicks;App;Taquara;2024-10-11 00:18:22;2024-10-11 04:18:22
Leandro Ribeiro;Toyota;Yaris;Cartão;Ipanema;2023-12-08 08:33:37;2023-12-08 10:33:37
Luísa Santos;Fiat;Argo;App;Botafogo;2023-07-22 05:19:36;2023-07-23 00:19:36
Fernando Carvalho;Volkswagen;Gol;App;Catete;2023-07-27 17:46:03;2023-07-27 20:46:03
Manoel Barros;Jeep;Renegade;App;Botafogo;2024-06-13 17:00:35;2024-06-14 00:00:35
Thiago Costa;Renault;Sandero;Cartão;Recreio dos Bandeirantes;2023-09-27 04:33:11;2023-09-27 20:33:11
Francisco Marques;Chevrolet;Onix;App;Laranjeiras;2023-05-08 14:38:40;2023-05-09 00:38:40
Lucas Miranda;Honda;Civic;Dinheiro;Sulacap;2024-07-16 07:24:00;2024-07-16 09:24:00
Tatiana Barros;Nissan;Kicks;Dinheiro;Glória;2023-10-23 13:15:47;2023-10-24 02:15:47
Paulo Campos;Hyundai;HB20;Cartão;Tijuca;2024-08-09 08:57:17;2024-08-09 20:57:17
Nina Barros;Hyundai;Creta;App;Glória;2024-09-24 14:37:22;2024-09-25 05:37:22
Vitor Almeida;Honda;Civic;Dinheiro;Copacabana;2023-05-15 01:12:18;2023-05-15 22:12:18
Camila Cardoso;Hyundai;Creta;Cartão;Lapa;2023-08-25 08:54:38;2023-08-25 18:54:38
Luísa Gonçalves;Renault;Sandero;App;Sulacap;2024-09-23 09:33:27;2024-09-23 11:33:27
Denise Moreira;Ford;Ka;Dinheiro;Tijuca;2024-06-22 09:24:29;2024-06-22 20:24:29
Vicente Neves;Volkswagen;Gol;Dinheiro;Copacabana;2024-11-08 13:05:09;2024-11-09 01:05:09
Stefany Lima;Renault;Sandero;Dinheiro;Sulacap;2023-12-29 00:22:00;2023-12-29 09:22:00
Lucas Almeida;Volkswagen;Polo;Cartão;Madureira;2024-09-16 06:39:31;2024-09-16 09:39:31
Fabrício Teixeira;Hyundai;HB20;Cartão;Catete;2024-01-30 15:16:32;2024-01-30 16:16:32
Mauro Miranda;Chevrolet;Cruze;App;Méier;2024-05-17 21:39:12;2024-05-18 02:39:12
Leandro Borges;Renault;Duster;Dinheiro;Méier;2024-02-07 01:47:42;2024-02-07 02:47:42
Leonardo Neves;Toyota;Yaris;Cartão;Centro;2024-05-24 02:04:18;2024-05-24 15:04:18
Stella Pereira;Toyota;Yaris;Dinheiro;Glória;2024-10-30 14:04:10;2024-10-31 03:04:10
Natália Rodrigues;Renault;Sandero;App;Copacabana;2024-10-13 01:20:58;2024-10-13 02:20:58
Isadora Santana;Nissan;March;App;Sulacap;2023-07-06 16:47:23;2023-07-06 18:47:23
Renato Mendes;Honda;Fit;Dinheiro;Gávea;2023-09-22 05:15:15;2023-09-22 15:15:15
Eliana Santos;Toyota;Corolla;App;Méier;2024-02-25 03:03:05;2024-02-25 05:03:05
Carla Ferraz;Hyundai;HB20;App;Glória;2023-12-22 17:12:17;2023-12-22 18:12:17
Claudio Silva;Hyundai;Creta;App;Santa Teresa;2023-12-20 23:11:27;2023-12-21 11:11:27
Giulia Ferraz;Chevrolet;Onix;Cartão;Ipanema;2024-02-26 05:12:44;2024-02-26 08:12:44
Giulia Ribeiro;Ford;Ka;Cartão;Recreio dos Bandeirantes;2023-10-18 03:28:20;2023-10-19 01:28:20
Samuel Santos;Nissan;March;Dinheiro;Laranjeiras;2024-05-17 21:07:59;2024-05-18 06:07:59
Fabrício Carvalho;Nissan;March;App;Lapa;2024-03-25 07:11:02;2024-03-25 19:11:02
Pedro Pereira;Hyundai;HB20;Cartão;Urca;2024-06-02 01:54:21;2024-06-02 08:54:21
Murilo Ferraz;Chevrolet;Cruze;Dinheiro;Catete;2024-01-05 07:52:23;2024-01-05 11:52:23
Antônio Duarte;Ford;Ka;App;Ipanema;2024-07-20 17:33:17;2024-07-21 15:33:17
Alexandre Melo;Ford;Fiesta;App;Botafogo;2023-02-26 00:56:50;2023-02-26 06:56:50
Carla Gonçalves;Ford;Fiesta;Dinheiro;Recreio dos Bandeirantes;2023-12-04 05:57:28;2023-12-04 17:57:28
César Santos;Volkswagen;Gol;Dinheiro;Barra da Tijuca;2024-05-11 22:02:33;2024-05-11 23:02:33
Rosana Duarte;Jeep;Renegade;Dinheiro;Ipanema;2023-05-21 01:09:14;2023-05-21 04:09:14
Barbara Lima;Renault;Sandero;Dinheiro;Taquara;2023-03-16 13:18:41;2023-03-17 00:18:41
Estela Barbosa;Chevrolet;Onix;App;Madureira;2023-06-06 09:53:08;2023-06-06 10:53:08
Rafael Rocha;Honda;Fit;Cartão;Catete;2024-10-21 22:27:23;2024-10-22 10:27:23
Nina Borges;Renault;Sandero;Dinheiro;Santa Teresa;2023-02-08 19:20:38;2023-02-09 10:20:38
Rose Nogueira;Hyundai;Creta;Dinheiro;Leblon;2024-05-01 13:55:36;2024-05-02 00:55:36
Marcelo Costa;Volkswagen;Gol;App;Campo Grande;2023-09-22 09:16:06;2023-09-22 11:16:06
Andressa Fonseca;Chevrolet;Onix;Dinheiro;Gávea;2023-03-19 13:45:36;2023-03-19 15:45:36
Túlio Carvalho;Toyota;Yaris;App;Centro;2023-04-09 09:58:17;2023-04-09 11:58:17
Elisa Rocha;Volkswagen;Polo;App;Sulacap;2024-11-02 06:51:22;2024-11-02 08:51:22
Ana Gomes;Renault;Duster;App;Laranjeiras;2023-06-29 14:43:54;2023-06-29 23:43:54
Karina Pereira;Hyundai;HB20;App;Ipanema;2023-02-23 23:11:12;2023-02-24 06:11:12
Carlos Araujo;Renault;Sandero;App;Santa Cruz;2024-08-24 16:07:40;2024-08-25 03:07:40
Luís Garcia;Toyota;Corolla;Cartão;Botafogo;2024-12-01 01:17:46;2024-12-01 23:17:46
Karen Carvalho;Renault;Sandero;Cartão;Barra da Tijuca;2023-04-24 14:58:55;2023-04-25 10:58:55
Lucas Pinto;Volkswagen;Polo;Dinheiro;Taquara;2023-08-03 20:32:28;2023-08-04 12:32:28
Roberto Ferraz;Nissan;Kicks;App;Santa Cruz;2023-07-15 13:17:07;2023-07-15 21:17:07
Ricardo Rocha;Volkswagen;Gol;Dinheiro;Campo Grande;2023-04-27 12:14:16;2023-04-27 20:14:16
Marcelo Carvalho;Volkswagen;Gol;Cartão;Méier;2024-07-13 10:03:47;2024-07-13 12:03:47
Samuel Alves;Fiat;Uno;Dinheiro;Taquara;2024-12-21 10:52:25;2024-12-21 11:52:25
Raquel Moraes;Volkswagen;Gol;Dinheiro;Laranjeiras;2024-04-30 23:11:02;2024-05-01 00:11:02
Samuel Miranda;Hyundai;HB20;Cartão;Madureira;2024-08-14 13:44:56;2024-08-15 11:44:56
Carolina Nogueira;Nissan;March;Cartão;Urca;2023-12-27 22:34:24;2023-12-28 07:34:24
Karen Ribeiro;Renault;Duster;App;Laranjeiras;2024-09-01 08:29:34;2024-09-01 10:29:34
Túlio Miranda;Ford;Fiesta;Cartão;Catete;2024-03-09 02:27:18;2024-03-09 14:27:18
Bianca Neves;Hyundai;HB20;Cartão;Vila Isabel;2023-01-25 00:38:15;2023-01-25 11:38:15
Lucas Rodrigues;Honda;Civic;Cartão;Taquara;2024-02-19 23:17:11;2024-02-20 10:17:11
Stefany Santos;Jeep;Compass;Dinheiro;Barra da Tijuca;2024-02-02 11:18:24;2024-02-02 21:18:24
Stefany Freitas;Renault;Duster;Dinheiro;Bangu;2023-12-25 12:29:58;2023-12-25 14:29:58
Nadia Moraes;Fiat;Uno;App;Glória;2024-08-09 06:49:02;2024-08-09 16:49:02
Carla Santos;Hyundai;HB20;Dinheiro;Urca;2023-08-17 05:00:40;2023-08-17 08:00:40
Carolina Dias;Toyota;Corolla;Dinheiro;Bangu;2023-03-10 13:47:19;2023-03-10 17:47:19
Claudio Fernandes;Nissan;March;App;Gávea;2023-10-06 00:57:49;2023-10-06 17:57:49
Arthur Ferreira;Nissan;March;Dinheiro;Leblon;2024-07-25 12:08:38;2024-07-26 10:08:38
André Gomes;Fiat;Argo;Cartão;Gávea;2023-05-05 04:36:29;2023-05-05 16:36:29
Adriana Batista;Ford;Fiesta;App;Santa Teresa;2023-05-26 18:32:08;2023-05-27 13:32:08
Alexandre Neves;Fiat;Argo;Dinheiro;Méier;2023-01-19 09:00:46;2023-01-19 19:00:46
Sarah Lopes;Honda;Civic;Dinheiro;Sulacap;2023-12-18 06:41:26;2023-12-18 09:41:26
Marcos Marques;Toyota;Yaris;Dinheiro;Gávea;2023-08-11 10:09:06;2023-08-11 21:09:06
Pietro Barbosa;Toyota;Yaris;Dinheiro;Recreio dos Bandeirantes;2024-12-07 01:47:17;2024-12-07 11:47:17
César Monteiro;Ford;Ka;Cartão;Méier;2023-07-22 03:39:06;2023-07-22 06:39:06
Karen Santana;Volkswagen;Polo;App;Botafogo;2024-07-21 19:38:06;2024-07-21 22:38:06
Rafael Mendes;Ford;Fiesta;Dinheiro;Bangu;2023-01-02 15:11:54;2023-01-02 17:11:54
Davi Santana;Hyundai;HB20;Dinheiro;Taquara;2023-04-11 07:08:33;2023-04-11 09:08:33
Lorena Costa;Honda;Civic;Cartão;Tijuca;2024-09-24 09:58:52;2024-09-24 11:58:52
Márcia Gonçalves;Nissan;Kicks;Dinheiro;Catete;2023-08-07 12:38:21;2023-08-07 13:38:21
Juliano Silva;Nissan;Kicks;Cartão;Sulacap;2024-03-31 13:59:56;2024-03-31 20:59:56
Isabela Costa;Ford;Fiesta;App;Centro;2024-04-24 21:21:41;2024-04-25 04:21:41
Hugo Miranda;Honda;Civic;Dinheiro;Centro;2023-09-27 23:39:47;2023-09-28 00:39:47
Larissa Alves;Nissan;March;Cartão;Tijuca;2024-12-23 23:34:03;2024-12-24 00:34:03
Samuel Oliveira;Honda;Civic;Dinheiro;Barra da Tijuca;2024-12-21 16:55:48;2024-12-22 07:55:48
Emily Monteiro;Toyota;Corolla;Dinheiro;Santa Teresa;2023-11-30 05:09:34;2023-11-30 18:09:34
Carla Reis;Nissan;March;Cartão;Lapa;2023-03-10 00:15:56;2023-03-10 01:15:56
Marcela Batista;Nissan;Kicks;Cartão;Catete;2023-08-09 13:44:47;2023-08-09 14:44:47
Enzo Nogueira;Honda;Civic;Dinheiro;Barra da Tijuca;2024-06-28 16:58:22;2024-06-29 09:58:22
Paula Freitas;Nissan;March;Dinheiro;Sulacap;2024-07-10 00:24:59;2024-07-10 01:24:59
Igor Almeida;Nissan;March;App;Bangu;2024-01-28 03:25:29;2024-01-28 23:25:29
Bianca Souza;Chevrolet;Cruze;Cartão;Barra da Tijuca;2023-04-04 23:37:28;2023-04-05 10:37:28
Flávia Santana;Chevrolet;Onix;Dinheiro;Urca;2024-06-11 01:00:09;2024-06-11 13:00:09
Diego Miranda;Honda;Fit;Cartão;Leblon;2023-09-24 07:11:00;2023-09-25 01:11:00
Mariana Lima;Jeep;Compass;Cartão;Lapa;2023-04-05 10:23:08;2023-04-05 15:23:08
Raquel Marques;Fiat;Argo;App;Recreio dos Bandeirantes;2023-07-23 08:28:54;2023-07-24 05:28:54
Laura Batista;Ford;Ka;Cartão;Glória;2024-05-01 22:23:57;2024-05-02 01:23:57
Claudio Freitas;Volkswagen;Gol;Dinheiro;Madureira;2024-07-23 22:39:18;2024-07-24 06:39:18
Ricardo Rodrigues;Volkswagen;Polo;Cartão;Madureira;2023-07-29 03:38:00;2023-07-29 13:38:00
Daniela Vieira;Fiat;Uno;Dinheiro;Santa Cruz;2024-06-25 18:51:19;2024-06-25 19:51:19
Daniel Marques;Honda;Fit;Dinheiro;Santa Teresa;2023-01-03 05:10:20;2023-01-03 11:10:20
Mário Cardoso;Hyundai;Creta;Cartão;Urca;2024-03-27 01:40:19;2024-03-27 04:40:19
Erick Souza;Volkswagen;Gol;App;Santa Teresa;2024-12-16 07:48:50;2024-12-16 10:48:50
Antônio Rodrigues;Volkswagen;Polo;Dinheiro;Taquara;2024-10-09 16:28:16;2024-10-10 00:28:16
Thiago Ribeiro;Honda;Civic;Dinheiro;Santa Cruz;2023-07-24 07:53:44;2023-07-24 13:53:44
Laura Ferreira;Fiat;Argo;Dinheiro;Laranjeiras;2023-03-15 01:21:42;2023-03-15 18:21:42
Emerson Santana;Nissan;Kicks;App;Leblon;2023-09-12 23:52:04;2023-09-13 04:52:04
Lucas Costa;Honda;Fit;Dinheiro;Santa Cruz;2024-09-14 02:15:13;2024-09-14 14:15:13
Cássio Teixeira;Toyota;Corolla;Dinheiro;Copacabana;2024-08-10 23:49:04;2024-08-11 12:49:04
Emily Gomes;Honda;Fit;App;Bangu;2024-01-05 12:24:23;2024-01-05 13:24:23
Roberto Reis;Chevrolet;Onix;App;Méier;2023-07-18 18:12:47;2023-07-18 20:12:47
Nicolas Nogueira;Toyota;Yaris;Cartão;Barra da Tijuca;2023-02-02 08:09:46;2023-02-02 13:09:46
Joaquim Reis;Nissan;March;Dinheiro;Tijuca;2024-12-26 19:48:56;2024-12-27 02:48:56
Lucas Rocha;Renault;Sandero;App;Gávea;2023-08-10 01:06:18;2023-08-10 13:06:18
Ricardo Costa;Hyundai;HB20;Dinheiro;Tijuca;2023-07-21 04:16:17;2023-07-21 05:16:17
Flávia Campos;Fiat;Uno;Cartão;Botafogo;2023-11-12 04:19:29;2023-11-12 19:19:29
Claudio Neves;Toyota;Corolla;App;Leblon;2023-11-02 21:23:47;2023-11-03 06:23:47
Carla Gomes;Hyundai;Creta;App;Bangu;2023-12-12 16:50:27;2023-12-13 12:50:27
Flávia Ribeiro;Jeep;Compass;Cartão;Sulacap;2023-12-08 09:31:39;2023-12-09 07:31:39
Elisa Araujo;Nissan;Kicks;Dinheiro;Ipanema;2024-03-12 21:20:52;2024-03-12 23:20:52
Luciana Ferraz;Ford;Ka;App;Recreio dos Bandeirantes;2023-08-26 20:14:30;2023-08-27 11:14:30
Manoel Rocha;Volkswagen;Gol;Dinheiro;Santa Cruz;2023-01-08 07:59:08;2023-01-08 16:59:08
Eliane Medeiros;Volkswagen;Polo;Dinheiro;Leblon;2024-01-30 07:49:02;2024-01-30 18:49:02
Barbara Ribeiro;Fiat;Argo;Cartão;Catete;2024-10-28 04:32:42;2024-10-28 05:32:42
Emerson Rodrigues;Fiat;Uno;Cartão;Leblon;2024-02-24 12:39:20;2024-02-24 18:39:20
Evelyn Lopes;Fiat;Uno;Dinheiro;Santa Teresa;2023-04-10 15:35:57;2023-04-11 01:35:57
Renan Pinto;Fiat;Argo;Dinheiro;Laranjeiras;2023-05-03 10:28:36;2023-05-04 01:28:36
Daniela Alves;Honda;Civic;Dinheiro;Glória;2024-05-02 19:29:04;2024-05-02 20:29:04
Karen Marques;Fiat;Argo;Cartão;Santa Teresa;2024-10-04 17:57:38;2024-10-04 21:57:38
Marcela Santos;Nissan;Kicks;Dinheiro;Ipanema;2023-12-09 22:47:45;2023-12-10 07:47:45
Márcia Garcia;Nissan;Kicks;Dinheiro;Leblon;2024-05-23 13:16:35;2024-05-24 10:16:35
Felipe Rodrigues;Renault;Duster;App;Ipanema;2023-01-28 18:53:00;2023-01-28 21:53:00
Elias Santos;Hyundai;HB20;Cartão;Jardim Botânico;2023-12-27 14:28:28;2023-12-27 15:28:28
Nicolas Barros;Renault;Duster;Cartão;Ipanema;2023-03-10 07:55:42;2023-03-10 19:55:42
Stefany Martins;Ford;Ka;Cartão;Jardim Botânico;2023-02-27 18:50:24;2023-02-28 03:50:24
Rodrigo Dias;Nissan;March;Dinheiro;Jardim Botânico;2023-02-24 05:05:56;2023-02-24 09:05:56
Giulia Moraes;Jeep;Compass;App;Lapa;2024-04-26 11:13:36;2024-04-26 20:13:36
Raquel Santana;Hyundai;Creta;Dinheiro;Vila Isabel;2023-12-27 05:54:07;2023-12-27 07:54:07
Natália Pinto;Volkswagen;Gol;Dinheiro;Vila Isabel;2023-04-30 04:33:21;2023-04-30 05:33:21
Alexandre Dias;Honda;Fit;Cartão;Gávea;2024-01-28 11:53:15;2024-01-29 00:53:15
Isadora Moura;Ford;Fiesta;Cartão;Santa Teresa;2023-09-05 13:01:41;2023-09-05 15:01:41
Mário Reis;Renault;Sandero;Dinheiro;Botafogo;2023-01-26 06:14:13;2023-01-26 17:14:13
Túlio Pinto;Volkswagen;Gol;Dinheiro;Copacabana;2023-02-02 09:18:53;2023-02-02 21:18:53
Igor Araujo;Fiat;Uno;Dinheiro;Ipanema;2024-10-16 11:58:53;2024-10-16 22:58:53
Nicole Souza;Renault;Duster;Dinheiro;Gávea;2023-01-15 19:15:02;2023-01-16 03:15:02
Fernando Barros;Renault;Sandero;Cartão;Campo Grande;2024-01-01 05:57:54;2024-01-01 07:57:54
Giulia Lima;Chevrolet;Onix;Cartão;Copacabana;2023-07-05 16:19:29;2023-07-05 17:19:29
Gabriel Barros;Renault;Sandero;Dinheiro;Botafogo;2023-06-18 02:54:47;2023-06-18 04:54:47
Lorena Carvalho;Nissan;Kicks;Dinheiro;Gávea;2024-08-17 04:03:45;2024-08-17 05:03:45
Luís Garcia;Fiat;Argo;Dinheiro;Gávea;2023-07-03 10:51:53;2023-07-04 08:51:53
Karina Melo;Toyota;Corolla;Cartão;Madureira;2023-12-11 16:15:03;2023-12-11 19:15:03
Caio Barros;Renault;Duster;App;Recreio dos Bandeirantes;2023-07-13 23:49:27;2023-07-14 02:49:27
Alexandre Miranda;Fiat;Argo;Cartão;Centro;2024-10-05 11:18:33;2024-10-05 23:18:33
Luísa Moreira;Fiat;Argo;Dinheiro;Sulacap;2023-06-18 14:01:36;2023-06-18 15:01:36
Caio Borges;Chevrolet;Onix;Cartão;Centro;2023-03-17 11:01:08;2023-03-18 11:01:08
Laura Rodrigues;Toyota;Yaris;Cartão;Ipanema;2024-08-16 19:14:36;2024-08-16 22:14:36
Pedro Ferreira;Volkswagen;Gol;Cartão;Vila Isabel;2024-01-20 00:48:45;2024-01-20 07:48:45
Carolina Martins;Hyundai;HB20;Dinheiro;Botafogo;2023-04-29 15:35:21;2023-04-29 18:35:21
Renan Alves;Renault;Duster;Cartão;Sulacap;2023-07-24 09:46:43;2023-07-24 15:46:43
Emerson Reis;Renault;Duster;Cartão;Barra da Tijuca;2023-01-03 12:56:37;2023-01-03 20:56:37
Michelle Castro;Renault;Duster;App;Tijuca;2024-03-02 17:06:16;2024-03-03 01:06:16
Arthur Campos;Renault;Sandero;Dinheiro;Catete;2024-07-02 16:20:05;2024-07-03 02:20:05
Nadia Castro;Nissan;March;App;Jardim Botânico;2024-12-14 09:01:57;2024-12-14 23:01:57
Karen Melo;Hyundai;HB20;Cartão;Bangu;2023-01-19 11:16:22;2023-01-19 12:16:22
Renato Dias;Volkswagen;Gol;Dinheiro;Catete;2024-11-25 13:56:49;2024-11-25 15:56:49
Giovana Freitas;Nissan;March;App;Santa Cruz;2023-05-28 16:53:03;2023-05-29 01:53:03
Carla Marques;Fiat;Argo;Cartão;Tijuca;2023-04-07 16:06:37;2023-04-08 13:06:37
Rafaela Gonçalves;Chevrolet;Cruze;Dinheiro;Botafogo;2023-09-06 02:34:40;2023-09-06 03:34:40
Diego Costa;Honda;Fit;Cartão;Ipanema;2023-09-06 07:21:26;2023-09-06 19:21:26
Thais Lopes;Fiat;Uno;Cartão;Vila Isabel;2024-11-19 22:10:01;2024-11-20 01:10:01
